instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,z_score,Waktu
6230,2011-09-22,3,0,9,3,0,4,1,2,0.6,0.5152,0.94,0.0896,5,7,12,-0.9783920974719209,Malam
6231,2011-09-22,3,0,9,4,0,4,1,2,0.6,0.5152,0.94,0.0896,0,2,2,-1.0335242441348367,Malam
6232,2011-09-22,3,0,9,5,0,4,1,2,0.6,0.5152,0.94,0.1045,2,28,30,-0.8791542334786725,Pagi
6233,2011-09-22,3,0,9,6,0,4,1,2,0.6,0.5,1.0,0.1343,7,94,101,-0.4877159921719704,Pagi
6234,2011-09-22,3,0,9,7,0,4,1,2,0.6,0.5,1.0,0.1045,16,295,311,0.670059087749261,Pagi
6235,2011-09-22,3,0,9,8,0,4,1,2,0.6,0.5,1.0,0.1642,26,389,415,1.2434334130435853,Pagi
6236,2011-09-22,3,0,9,9,0,4,1,2,0.62,0.5455,0.94,0.194,35,168,203,0.0746319037897706,Pagi
6237,2011-09-22,3,0,9,10,0,4,1,2,0.64,0.5758,0.89,0.2239,19,101,120,-0.38296491351243045,Pagi
6238,2011-09-22,3,0,9,11,0,4,1,2,0.64,0.5758,0.89,0.194,23,142,165,-0.1348702535293094,Siang
6239,2011-09-22,3,0,9,12,0,4,1,2,0.66,0.6061,0.83,0.1642,25,151,176,-0.07422489220010202,Siang
6240,2011-09-22,3,0,9,13,0,4,1,2,0.66,0.6061,0.83,0.194,38,155,193,0.01949975712685481,Siang
6241,2011-09-22,3,0,9,14,0,4,1,2,0.66,0.6061,0.83,0.2239,41,142,183,-0.035632389536060974,Sore
6242,2011-09-22,3,0,9,15,0,4,1,2,0.68,0.6364,0.79,0.1642,32,149,181,-0.046658818868644134,Sore
6243,2011-09-22,3,0,9,16,0,4,1,2,0.68,0.6364,0.74,0.1343,39,262,301,0.6149269410863453,Sore
6246,2011-09-22,3,0,9,19,0,4,1,2,0.64,0.5758,0.89,0.0896,32,388,420,1.2709994863750431,Malam
6247,2011-09-22,3,0,9,20,0,4,1,2,0.62,0.5455,0.94,0.1343,35,250,285,0.52671550642568,Malam
6248,2011-09-22,3,0,9,21,0,4,1,2,0.64,0.5758,0.89,0.0896,27,194,221,0.17386976778301902,Malam
6249,2011-09-22,3,0,9,22,0,4,1,2,0.62,0.5152,1.0,0.0896,21,166,187,-0.01357953087089466,Malam
6250,2011-09-22,3,0,9,23,0,4,1,2,0.62,0.5455,0.94,0.0,14,99,113,-0.42155741617647147,Malam
6251,2011-09-23,4,0,9,0,0,5,1,2,0.62,0.5455,0.94,0.0896,11,41,52,-0.7578635108202577,Malam
6252,2011-09-23,4,0,9,1,0,5,1,2,0.6,0.5,1.0,0.0,2,29,31,-0.8736410188123809,Malam
6253,2011-09-23,4,0,9,2,0,5,1,2,0.6,0.5,1.0,0.1045,6,14,20,-0.9342863801415883,Malam
6254,2011-09-23,4,0,9,3,0,5,1,2,0.6,0.5,1.0,0.0,3,5,8,-1.0004449561370872,Malam
6255,2011-09-23,4,0,9,4,0,5,1,3,0.6,0.5,1.0,0.0,6,7,13,-0.9728788828056293,Malam
6256,2011-09-23,4,0,9,5,0,5,1,2,0.62,0.5455,0.94,0.0,2,20,22,-0.9232599508090051,Pagi
6257,2011-09-23,4,0,9,6,0,5,1,2,0.62,0.5455,0.94,0.0896,5,99,104,-0.47117634817309567,Pagi
6258,2011-09-23,4,0,9,7,0,5,1,3,0.62,0.5455,0.94,0.1343,14,240,254,0.3558058517706411,Pagi
6259,2011-09-23,4,0,9,8,0,5,1,3,0.62,0.5455,0.94,0.1343,20,297,317,0.7031383757470105,Pagi
6260,2011-09-23,4,0,9,9,0,5,1,3,0.62,0.5152,1.0,0.1343,3,108,111,-0.43258384550905465,Pagi
6261,2011-09-23,4,0,9,10,0,5,1,3,0.62,0.5152,1.0,0.1045,7,28,35,-0.8515881601472146,Pagi
6262,2011-09-23,4,0,9,11,0,5,1,3,0.62,0.5152,1.0,0.1045,1,20,21,-0.9287731654752966,Siang
6263,2011-09-23,4,0,9,12,0,5,1,3,0.62,0.5455,0.94,0.1045,1,28,29,-0.8846674481449641,Siang
6264,2011-09-23,4,0,9,13,0,5,1,3,0.6,0.5,1.0,0.0896,7,27,34,-0.8571013748135062,Siang
6265,2011-09-23,4,0,9,14,0,5,1,3,0.6,0.5,1.0,0.0896,3,21,24,-0.912233521476422,Sore
6266,2011-09-23,4,0,9,15,0,5,1,3,0.62,0.5455,0.94,0.1045,9,52,61,-0.7082445788236336,Sore
6267,2011-09-23,4,0,9,16,0,5,1,3,0.62,0.5455,0.94,0.0,5,51,56,-0.7358106521550914,Sore
6268,2011-09-23,4,0,9,17,0,5,1,2,0.6,0.5,1.0,0.0,13,86,99,-0.49874242150455356,Sore
6269,2011-09-23,4,0,9,18,0,5,1,1,0.6,0.5,1.0,0.0,14,220,234,0.24554155844480954,Malam
6270,2011-09-23,4,0,9,19,0,5,1,1,0.62,0.5455,0.94,0.1343,16,232,248,0.3227265637728916,Malam
6271,2011-09-23,4,0,9,20,0,5,1,1,0.6,0.5152,0.94,0.0,21,158,179,-0.057685248201227286,Malam
6272,2011-09-23,4,0,9,21,0,5,1,1,0.6,0.5,1.0,0.1642,17,121,138,-0.283727049519182,Malam
6273,2011-09-23,4,0,9,22,0,5,1,1,0.6,0.5152,0.94,0.1642,31,126,157,-0.178975970859642,Malam
6274,2011-09-23,4,0,9,23,0,5,1,2,0.58,0.5455,1.0,0.1343,41,107,148,-0.2285949028562662,Malam
6275,2011-09-24,4,0,9,0,0,6,0,1,0.58,0.5455,1.0,0.0896,7,86,93,-0.531821709502303,Malam
6276,2011-09-24,4,0,9,1,0,6,0,2,0.58,0.5455,0.94,0.0896,18,61,79,-0.6090067148303852,Malam
6277,2011-09-24,4,0,9,2,0,6,0,2,0.58,0.5455,0.94,0.0896,14,54,68,-0.6696520761595925,Malam
6278,2011-09-24,4,0,9,3,0,6,0,1,0.58,0.5455,0.94,0.0,4,27,31,-0.8736410188123809,Malam
6279,2011-09-24,4,0,9,4,0,6,0,1,0.56,0.5303,0.94,0.1045,1,7,8,-1.0004449561370872,Malam
6280,2011-09-24,4,0,9,5,0,6,0,2,0.56,0.5303,0.94,0.1045,2,3,5,-1.016984600135962,Pagi
6281,2011-09-24,4,0,9,6,0,6,0,2,0.56,0.5303,0.94,0.1045,6,12,18,-0.9453128094741714,Pagi
6282,2011-09-24,4,0,9,7,0,6,0,2,0.56,0.5303,0.88,0.1045,12,34,46,-0.7909427988180072,Pagi
6283,2011-09-24,4,0,9,8,0,6,0,2,0.58,0.5455,0.9,0.0896,19,102,121,-0.37745169884613883,Pagi
6284,2011-09-24,4,0,9,9,0,6,0,2,0.6,0.5455,0.88,0.0896,41,134,175,-0.0797381068663936,Pagi
6285,2011-09-24,4,0,9,10,0,6,0,2,0.6,0.5455,0.88,0.0896,90,203,293,0.5708212237560126,Pagi
6286,2011-09-24,4,0,9,11,0,6,0,2,0.62,0.5758,0.83,0.0896,118,268,386,1.0835501877211295,Siang
6287,2011-09-24,4,0,9,12,0,6,0,2,0.62,0.5758,0.83,0.0896,141,266,407,1.1993276957132526,Siang
6288,2011-09-24,4,0,9,13,0,6,0,1,0.64,0.5909,0.78,0.0,170,290,460,1.4915280730267062,Siang
6289,2011-09-24,4,0,9,14,0,6,0,2,0.66,0.6212,0.74,0.1343,164,226,390,1.1056030463862958,Sore
6290,2011-09-24,4,0,9,15,0,6,0,2,0.66,0.6212,0.74,0.1343,168,284,452,1.4474223556963735,Sore
6291,2011-09-24,4,0,9,16,0,6,0,2,0.64,0.5909,0.78,0.0896,167,282,449,1.4308827116974987,Sore
6292,2011-09-24,4,0,9,17,0,6,0,1,0.66,0.6212,0.74,0.1045,180,246,426,1.3040787743727926,Sore
6293,2011-09-24,4,0,9,18,0,6,0,1,0.64,0.5909,0.78,0.1045,157,243,400,1.1607351930492116,Malam
6294,2011-09-24,4,0,9,19,0,6,0,1,0.62,0.5606,0.88,0.0,77,231,308,0.6535194437503864,Malam
6295,2011-09-24,4,0,9,20,0,6,0,1,0.62,0.5758,0.83,0.0,77,166,243,0.2951604904414337,Malam
6296,2011-09-24,4,0,9,21,0,6,0,1,0.62,0.5758,0.83,0.0896,66,156,222,0.17938298244931059,Malam
6297,2011-09-24,4,0,9,22,0,6,0,2,0.62,0.5606,0.88,0.0,50,143,193,0.01949975712685481,Malam
6298,2011-09-24,4,0,9,23,0,6,0,2,0.6,0.5455,0.88,0.0896,27,123,150,-0.21756847352368305,Malam
6299,2011-09-25,4,0,9,0,0,0,0,2,0.6,0.5455,0.88,0.0,37,136,173,-0.09076453619897676,Malam
6300,2011-09-25,4,0,9,1,0,0,0,2,0.6,0.5455,0.88,0.1045,31,93,124,-0.36091205484726413,Malam
6301,2011-09-25,4,0,9,2,0,0,0,3,0.6,0.5152,0.94,0.0,27,79,106,-0.46014991884051254,Malam
6302,2011-09-25,4,0,9,3,0,0,0,3,0.6,0.5152,0.94,0.0,20,39,59,-0.7192710081562167,Malam
6303,2011-09-25,4,0,9,4,0,0,0,3,0.6,0.5152,0.94,0.1343,3,5,8,-1.0004449561370872,Malam
6304,2011-09-25,4,0,9,5,0,0,0,1,0.6,0.5455,0.88,0.0896,1,2,3,-1.0280110294685452,Pagi
6305,2011-09-25,4,0,9,6,0,0,0,2,0.6,0.5455,0.88,0.1045,4,13,17,-0.950826024140463,Pagi
6306,2011-09-25,4,0,9,7,0,0,0,2,0.6,0.5152,0.94,0.1343,15,23,38,-0.8350485161483399,Pagi
6307,2011-09-25,4,0,9,8,0,0,0,2,0.62,0.5606,0.88,0.0,27,59,86,-0.5704142121663441,Pagi
6308,2011-09-25,4,0,9,9,0,0,0,2,0.64,0.5758,0.83,0.0,55,100,155,-0.19000240019222517,Pagi
6309,2011-09-25,4,0,9,10,0,0,0,2,0.64,0.5758,0.83,0.0,85,190,275,0.4715833597627643,Pagi
6310,2011-09-25,4,0,9,11,0,0,0,2,0.66,0.6061,0.78,0.1343,131,230,361,0.94571982106384,Siang
6311,2011-09-25,4,0,9,12,0,0,0,2,0.66,0.6061,0.78,0.0,143,270,413,1.232406983711002,Siang
6312,2011-09-25,4,0,9,13,0,0,0,2,0.68,0.6364,0.74,0.0,122,247,369,0.9898255383941726,Siang
6313,2011-09-25,4,0,9,14,0,0,0,2,0.66,0.6061,0.78,0.0,116,231,347,0.8685348157357579,Sore
6314,2011-09-25,4,0,9,15,0,0,0,2,0.66,0.6061,0.78,0.0,119,234,353,0.9016141037335074,Sore
6315,2011-09-25,4,0,9,16,0,0,0,1,0.7,0.6515,0.7,0.0,144,320,464,1.5135809316918725,Sore
6316,2011-09-25,4,0,9,17,0,0,0,1,0.68,0.6364,0.74,0.0,145,275,420,1.2709994863750431,Sore
6317,2011-09-25,4,0,9,18,0,0,0,1,0.68,0.6364,0.74,0.0,125,279,404,1.1827880517143778,Malam
6318,2011-09-25,4,0,9,19,0,0,0,1,0.64,0.5758,0.83,0.1343,87,242,329,0.7692969517425094,Malam
6319,2011-09-25,4,0,9,20,0,0,0,1,0.64,0.5758,0.83,0.0896,51,135,186,-0.019092745537186238,Malam
6320,2011-09-25,4,0,9,21,0,0,0,1,0.62,0.5455,0.94,0.0896,24,113,137,-0.2892402641854736,Malam
6321,2011-09-25,4,0,9,22,0,0,0,1,0.62,0.5606,0.88,0.0896,20,84,104,-0.47117634817309567,Malam
6322,2011-09-25,4,0,9,23,0,0,0,2,0.62,0.5455,0.94,0.1045,12,67,79,-0.6090067148303852,Malam
6323,2011-09-26,4,0,9,0,0,1,1,2,0.62,0.5455,0.94,0.0,6,23,29,-0.8846674481449641,Malam
6324,2011-09-26,4,0,9,1,0,1,1,2,0.62,0.5606,0.88,0.1045,3,14,17,-0.950826024140463,Malam
6325,2011-09-26,4,0,9,2,0,1,1,2,0.62,0.5606,0.88,0.1045,4,4,8,-1.0004449561370872,Malam
6326,2011-09-26,4,0,9,3,0,1,1,2,0.62,0.5455,0.94,0.0,0,5,5,-1.016984600135962,Malam
6327,2011-09-26,4,0,9,4,0,1,1,2,0.62,0.5455,0.94,0.0896,2,4,6,-1.0114713854696704,Malam
6328,2011-09-26,4,0,9,5,0,1,1,2,0.62,0.5606,0.88,0.0,0,25,25,-0.9067203068101304,Pagi
6329,2011-09-26,4,0,9,6,0,1,1,2,0.62,0.5455,0.94,0.0896,6,107,113,-0.42155741617647147,Pagi
6330,2011-09-26,4,0,9,7,0,1,1,2,0.62,0.5455,0.94,0.0,17,315,332,0.7858365957413842,Pagi
6331,2011-09-26,4,0,9,8,0,1,1,2,0.62,0.5455,0.94,0.0,29,326,355,0.9126405330660905,Pagi
6332,2011-09-26,4,0,9,9,0,1,1,2,0.64,0.5758,0.89,0.194,44,161,205,0.08565833312235376,Pagi
6333,2011-09-26,4,0,9,10,0,1,1,2,0.64,0.5758,0.89,0.194,37,117,154,-0.19551561485851676,Pagi
6334,2011-09-26,4,0,9,11,0,1,1,1,0.68,0.6364,0.79,0.2239,43,116,159,-0.16794954152705885,Siang
6335,2011-09-26,4,0,9,12,0,1,1,2,0.68,0.6364,0.79,0.1642,48,161,209,0.10771119178752007,Siang
6336,2011-09-26,4,0,9,13,0,1,1,2,0.7,0.6667,0.74,0.1642,48,139,187,-0.01357953087089466,Siang
6337,2011-09-26,4,0,9,14,0,1,1,1,0.7,0.6515,0.7,0.1642,44,110,154,-0.19551561485851676,Sore
6338,2011-09-26,4,0,9,15,0,1,1,1,0.72,0.6818,0.62,0.1343,52,157,209,0.10771119178752007,Sore
6339,2011-09-26,4,0,9,16,0,1,1,1,0.7,0.6515,0.65,0.1642,74,239,313,0.6810855170818443,Sore
6342,2011-09-26,4,0,9,19,0,1,1,1,0.66,0.6061,0.82,0.0896,36,347,383,1.0670105437222548,Malam
6343,2011-09-26,4,0,9,20,0,1,1,1,0.64,0.5758,0.89,0.1343,24,227,251,0.33926620777176636,Malam
6344,2011-09-26,4,0,9,21,0,1,1,1,0.64,0.5758,0.89,0.1343,18,164,182,-0.041145604202352554,Malam
6345,2011-09-26,4,0,9,22,0,1,1,1,0.62,0.5455,0.94,0.1343,14,122,136,-0.29475347885176517,Malam
6346,2011-09-26,4,0,9,23,0,1,1,1,0.62,0.5455,0.94,0.1343,11,64,75,-0.6310595734955514,Malam
6347,2011-09-27,4,0,9,0,0,2,1,1,0.62,0.5455,0.94,0.1343,9,28,37,-0.8405617308146315,Malam
6348,2011-09-27,4,0,9,1,0,2,1,1,0.62,0.5455,0.94,0.1642,4,6,10,-0.989418526804504,Malam
6349,2011-09-27,4,0,9,2,0,2,1,1,0.62,0.5455,0.94,0.1045,7,4,11,-0.9839053121382125,Malam
6350,2011-09-27,4,0,9,3,0,2,1,2,0.62,0.5455,0.94,0.0,5,5,10,-0.989418526804504,Malam
6351,2011-09-27,4,0,9,4,0,2,1,3,0.62,0.5455,0.94,0.0896,5,3,8,-1.0004449561370872,Malam
6352,2011-09-27,4,0,9,5,0,2,1,3,0.62,0.5455,0.94,0.0896,0,24,24,-0.912233521476422,Pagi
6353,2011-09-27,4,0,9,6,0,2,1,2,0.62,0.5455,0.94,0.1045,8,116,124,-0.36091205484726413,Pagi
6354,2011-09-27,4,0,9,7,0,2,1,2,0.62,0.5455,0.94,0.1045,15,234,249,0.3282397784391832,Pagi
6355,2011-09-27,4,0,9,8,0,2,1,2,0.64,0.5758,0.89,0.1045,27,400,427,1.3095919890390841,Pagi
6356,2011-09-27,4,0,9,9,0,2,1,3,0.64,0.5758,0.89,0.194,20,173,193,0.01949975712685481,Pagi
6357,2011-09-27,4,0,9,10,0,2,1,3,0.64,0.5606,0.94,0.1642,21,101,122,-0.37193848417984726,Pagi
6358,2011-09-27,4,0,9,11,0,2,1,2,0.66,0.5909,0.89,0.1045,26,97,123,-0.3664252695135557,Siang
6359,2011-09-27,4,0,9,12,0,2,1,2,0.66,0.5909,0.89,0.1343,33,129,162,-0.15140989752818412,Siang
6360,2011-09-27,4,0,9,13,0,2,1,2,0.7,0.6667,0.74,0.2239,29,122,151,-0.2120552588573915,Siang
6361,2011-09-27,4,0,9,14,0,2,1,2,0.68,0.6364,0.79,0.1045,29,123,152,-0.20654204419109992,Sore
6362,2011-09-27,4,0,9,15,0,2,1,2,0.68,0.6364,0.83,0.0896,35,170,205,0.08565833312235376,Sore
6363,2011-09-27,4,0,9,16,0,2,1,2,0.66,0.6061,0.83,0.194,33,225,258,0.37785871043580743,Sore
6365,2011-09-27,4,0,9,18,0,2,1,2,0.64,0.5758,0.89,0.2239,31,325,356,0.9181537477323821,Malam
6366,2011-09-27,4,0,9,19,0,2,1,2,0.64,0.5758,0.89,0.1343,26,294,320,0.7196780197458853,Malam
6367,2011-09-27,4,0,9,20,0,2,1,1,0.62,0.5909,0.78,0.0,17,221,238,0.26759441710997584,Malam
6368,2011-09-27,4,0,9,21,0,2,1,1,0.6,0.5606,0.83,0.0,17,179,196,0.036039401125729544,Malam
6369,2011-09-27,4,0,9,22,0,2,1,1,0.6,0.5455,0.88,0.0896,19,102,121,-0.37745169884613883,Malam
6370,2011-09-27,4,0,9,23,0,2,1,1,0.6,0.5455,0.88,0.0896,11,82,93,-0.531821709502303,Malam
6371,2011-09-28,4,0,9,0,0,3,1,1,0.6,0.5455,0.88,0.0,7,29,36,-0.846074945480923,Malam
6372,2011-09-28,4,0,9,1,0,3,1,1,0.6,0.5455,0.88,0.0,1,13,14,-0.9673656681393378,Malam
6373,2011-09-28,4,0,9,2,0,3,1,1,0.6,0.5455,0.88,0.2537,0,9,9,-0.9949317414707957,Malam
6374,2011-09-28,4,0,9,3,0,3,1,2,0.6,0.5152,0.94,0.0896,0,3,3,-1.0280110294685452,Malam
6375,2011-09-28,4,0,9,4,0,3,1,1,0.6,0.5455,0.88,0.0,1,3,4,-1.0224978148022534,Malam
6376,2011-09-28,4,0,9,5,0,3,1,2,0.6,0.5152,0.94,0.0,2,20,22,-0.9232599508090051,Pagi
6377,2011-09-28,4,0,9,6,0,3,1,3,0.6,0.5152,0.94,0.1642,3,111,114,-0.4160442015101799,Pagi
6378,2011-09-28,4,0,9,7,0,3,1,3,0.6,0.5152,0.94,0.1642,8,177,185,-0.024605960203477818,Pagi
6379,2011-09-28,4,0,9,8,0,3,1,3,0.62,0.5455,0.94,0.2239,17,270,287,0.5377419357582632,Pagi
6380,2011-09-28,4,0,9,9,0,3,1,3,0.62,0.5455,0.94,0.2239,14,141,155,-0.19000240019222517,Pagi
6381,2011-09-28,4,0,9,10,0,3,1,2,0.62,0.5455,0.94,0.0,20,109,129,-0.3333459815158062,Pagi
6382,2011-09-28,4,0,9,11,0,3,1,2,0.66,0.6061,0.83,0.1045,24,127,151,-0.2120552588573915,Siang
6383,2011-09-28,4,0,9,12,0,3,1,2,0.68,0.6364,0.79,0.0,25,159,184,-0.030119174869769397,Siang
6384,2011-09-28,4,0,9,13,0,3,1,1,0.7,0.6667,0.74,0.2537,24,138,162,-0.15140989752818412,Siang
6385,2011-09-28,4,0,9,14,0,3,1,1,0.72,0.6818,0.62,0.2537,25,145,170,-0.1073041801978515,Sore
6386,2011-09-28,4,0,9,15,0,3,1,1,0.7,0.6515,0.7,0.1343,35,146,181,-0.046658818868644134,Sore
6387,2011-09-28,4,0,9,16,0,3,1,1,0.7,0.6515,0.7,0.194,39,241,280,0.49914943309422216,Sore
6390,2011-09-28,4,0,9,19,0,3,1,3,0.66,0.6061,0.83,0.2537,57,315,372,1.0063651823930473,Malam
6391,2011-09-28,4,0,9,20,0,3,1,3,0.6,0.5606,0.83,0.2985,11,91,102,-0.48220277750567886,Malam
6392,2011-09-28,4,0,9,21,0,3,1,3,0.6,0.5455,0.88,0.2537,7,67,74,-0.636572788161843,Malam
6393,2011-09-28,4,0,9,22,0,3,1,1,0.6,0.5455,0.88,0.0896,19,68,87,-0.5649009975000525,Malam
6394,2011-09-28,4,0,9,23,0,3,1,1,0.6,0.5152,0.94,0.1343,12,59,71,-0.6531124321607178,Malam
6395,2011-09-29,4,0,9,0,0,4,1,1,0.6,0.5152,0.94,0.194,7,33,40,-0.8240220868157567,Malam
6396,2011-09-29,4,0,9,1,0,4,1,2,0.6,0.5,1.0,0.194,3,20,23,-0.9177467361427135,Malam
6397,2011-09-29,4,0,9,2,0,4,1,2,0.6,0.5,1.0,0.194,0,2,2,-1.0335242441348367,Malam
6398,2011-09-29,4,0,9,3,0,4,1,2,0.6,0.5152,0.94,0.194,0,8,8,-1.0004449561370872,Malam
6399,2011-09-29,4,0,9,4,0,4,1,2,0.6,0.5455,0.88,0.194,2,5,7,-1.005958170803379,Malam
6400,2011-09-29,4,0,9,5,0,4,1,2,0.6,0.5455,0.88,0.1045,0,22,22,-0.9232599508090051,Pagi
6401,2011-09-29,4,0,9,6,0,4,1,2,0.6,0.5455,0.88,0.0896,5,106,111,-0.43258384550905465,Pagi
6402,2011-09-29,4,0,9,7,0,4,1,1,0.6,0.5455,0.88,0.1343,14,269,283,0.5156890770930969,Pagi
6403,2011-09-29,4,0,9,8,0,4,1,1,0.6,0.5606,0.83,0.0,29,402,431,1.3316448477042504,Pagi
6404,2011-09-29,4,0,9,9,0,4,1,1,0.62,0.5909,0.78,0.2537,27,198,225,0.19592262644818534,Pagi
6405,2011-09-29,4,0,9,10,0,4,1,1,0.64,0.6061,0.65,0.194,24,103,127,-0.3443724108483894,Pagi
6406,2011-09-29,4,0,9,11,0,4,1,1,0.62,0.6061,0.61,0.194,36,122,158,-0.17346275619335044,Siang
6407,2011-09-29,4,0,9,12,0,4,1,1,0.66,0.6212,0.61,0.1642,38,157,195,0.030526186459437967,Siang
6408,2011-09-29,4,0,9,13,0,4,1,1,0.64,0.6212,0.61,0.194,36,175,211,0.11873762112010322,Siang
6409,2011-09-29,4,0,9,14,0,4,1,1,0.68,0.6364,0.51,0.2985,33,134,167,-0.12384382419672624,Sore
6410,2011-09-29,4,0,9,15,0,4,1,1,0.68,0.6364,0.45,0.3881,42,185,227,0.20694905578076847,Sore
6411,2011-09-29,4,0,9,16,0,4,1,1,0.68,0.6364,0.41,0.3582,64,227,291,0.5597947944234295,Sore
6414,2011-09-29,4,0,9,19,0,4,1,1,0.62,0.6212,0.5,0.0896,36,348,384,1.0725237583885463,Malam
6415,2011-09-29,4,0,9,20,0,4,1,1,0.6,0.6212,0.53,0.0896,39,234,273,0.4605569304301811,Malam
6416,2011-09-29,4,0,9,21,0,4,1,1,0.58,0.5455,0.56,0.0,30,195,225,0.19592262644818534,Malam
6417,2011-09-29,4,0,9,22,0,4,1,1,0.56,0.5303,0.68,0.0,25,150,175,-0.0797381068663936,Malam
6418,2011-09-29,4,0,9,23,0,4,1,1,0.52,0.5,0.77,0.1045,17,64,81,-0.597980285497802,Malam
6419,2011-09-30,4,0,9,0,0,5,1,1,0.52,0.5,0.83,0.1045,7,53,60,-0.7137577934899252,Malam
6420,2011-09-30,4,0,9,1,0,5,1,1,0.52,0.5,0.77,0.0896,5,18,23,-0.9177467361427135,Malam
6421,2011-09-30,4,0,9,2,0,5,1,1,0.52,0.5,0.83,0.1045,6,9,15,-0.9618524534730462,Malam
6422,2011-09-30,4,0,9,3,0,5,1,1,0.52,0.5,0.83,0.1045,0,3,3,-1.0280110294685452,Malam
6423,2011-09-30,4,0,9,4,0,5,1,1,0.52,0.5,0.83,0.194,2,6,8,-1.0004449561370872,Malam
6424,2011-09-30,4,0,9,5,0,5,1,1,0.52,0.5,0.83,0.194,3,23,26,-0.9012070921438388,Pagi
6425,2011-09-30,4,0,9,6,0,5,1,1,0.52,0.5,0.83,0.2239,0,98,98,-0.5042556361708451,Pagi
6426,2011-09-30,4,0,9,7,0,5,1,1,0.52,0.5,0.83,0.2239,14,283,297,0.592874082421179,Pagi
6427,2011-09-30,4,0,9,8,0,5,1,1,0.54,0.5152,0.77,0.1343,31,425,456,1.4694752143615397,Pagi
6428,2011-09-30,4,0,9,9,0,5,1,1,0.56,0.5303,0.73,0.194,23,214,237,0.26208120244368427,Pagi
6429,2011-09-30,4,0,9,10,0,5,1,1,0.6,0.6061,0.64,0.0,46,122,168,-0.11833060953043466,Pagi
6430,2011-09-30,4,0,9,11,0,5,1,1,0.64,0.6212,0.57,0.0896,49,168,217,0.1518169091178527,Siang
6431,2011-09-30,4,0,9,12,0,5,1,2,0.64,0.6212,0.57,0.194,59,195,254,0.3558058517706411,Siang
6432,2011-09-30,4,0,9,13,0,5,1,2,0.66,0.6212,0.47,0.3284,72,194,266,0.42196442776614007,Siang
6433,2011-09-30,4,0,9,14,0,5,1,2,0.64,0.6212,0.47,0.2985,93,173,266,0.42196442776614007,Sore
6434,2011-09-30,4,0,9,15,0,5,1,1,0.64,0.6212,0.5,0.2836,52,193,245,0.3061869197740169,Sore
6435,2011-09-30,4,0,9,16,0,5,1,1,0.62,0.6212,0.53,0.2239,62,298,360,0.9402066063975484,Sore
6438,2011-09-30,4,0,9,19,0,5,1,1,0.54,0.5152,0.52,0.2836,42,332,374,1.0173916117256305,Malam
6439,2011-09-30,4,0,9,20,0,5,1,1,0.54,0.5152,0.52,0.2836,28,202,230,0.22348869977964322,Malam
6440,2011-09-30,4,0,9,21,0,5,1,1,0.52,0.5,0.55,0.194,27,179,206,0.09117154778864534,Malam
6441,2011-09-30,4,0,9,22,0,5,1,1,0.52,0.5,0.55,0.3284,30,129,159,-0.16794954152705885,Malam
6442,2011-09-30,4,0,9,23,0,5,1,1,0.52,0.5,0.55,0.3284,23,109,132,-0.3168063375169315,Malam
6443,2011-10-01,4,0,10,0,0,6,0,1,0.5,0.4848,0.63,0.3881,24,106,130,-0.3278327668495146,Malam
6444,2011-10-01,4,0,10,1,0,6,0,1,0.48,0.4697,0.67,0.3284,11,47,58,-0.7247842228225083,Malam
6445,2011-10-01,4,0,10,2,0,6,0,1,0.46,0.4545,0.63,0.4179,21,46,67,-0.6751652908258841,Malam
6446,2011-10-01,4,0,10,3,0,6,0,1,0.46,0.4545,0.59,0.4179,8,17,25,-0.9067203068101304,Malam
6447,2011-10-01,4,0,10,4,0,6,0,1,0.44,0.4394,0.58,0.4179,2,6,8,-1.0004449561370872,Malam
6448,2011-10-01,4,0,10,5,0,6,0,2,0.44,0.4394,0.62,0.2985,1,4,5,-1.016984600135962,Pagi
6449,2011-10-01,4,0,10,6,0,6,0,1,0.42,0.4242,0.67,0.3284,4,15,19,-0.9397995948078799,Pagi
6450,2011-10-01,4,0,10,7,0,6,0,3,0.42,0.4242,0.67,0.2537,6,30,36,-0.846074945480923,Pagi
6451,2011-10-01,4,0,10,8,0,6,0,2,0.4,0.4091,0.76,0.3284,9,58,67,-0.6751652908258841,Pagi
6452,2011-10-01,4,0,10,9,0,6,0,3,0.4,0.4091,0.82,0.3582,17,112,129,-0.3333459815158062,Pagi
6453,2011-10-01,4,0,10,10,0,6,0,3,0.4,0.4091,0.76,0.3582,21,100,121,-0.37745169884613883,Pagi
6454,2011-10-01,4,0,10,11,0,6,0,3,0.38,0.3939,0.82,0.3284,30,102,132,-0.3168063375169315,Siang
6455,2011-10-01,4,0,10,12,0,6,0,2,0.4,0.4091,0.82,0.2537,28,130,158,-0.17346275619335044,Siang
6456,2011-10-01,4,0,10,13,0,6,0,2,0.4,0.4091,0.82,0.3284,27,98,125,-0.3553988401809725,Siang
6457,2011-10-01,4,0,10,14,0,6,0,2,0.42,0.4242,0.71,0.3582,33,147,180,-0.05217203353493571,Sore
6458,2011-10-01,4,0,10,15,0,6,0,2,0.42,0.4242,0.71,0.2836,41,154,195,0.030526186459437967,Sore
6459,2011-10-01,4,0,10,16,0,6,0,2,0.4,0.4091,0.76,0.2985,58,165,223,0.18489619711560218,Sore
